id_vente,date,region,produit_categorie,id_client,montant
1,2024-07-01,Nord,Electronique,153,284.11
2,2024-07-01,Sud,Cosmetique,158,154.66
3,2024-07-01,Ouest,Cosmetique,17,10.0
4,2024-07-01,Ouest,Textile,531,167.79
5,2024-07-01,Centre,Textile,202,507.44
6,2024-07-02,Sud,Cosmetique,7,582.73
7,2024-07-02,Ouest,Mobilier,228,120.73
8,2024-07-02,Centre,Textile,66,548.47
9,2024-07-03,Nord,Mobilier,103,325.12
10,2024-07-03,Sud,Mobilier,26,250.01
11,2024-07-03,Est,Alimentaire,315,334.3
12,2024-07-03,Ouest,Electronique,109,314.03
13,2024-07-03,Centre,Cosmetique,37,811.59
14,2024-07-04,Sud,Electronique,53,710.47
15,2024-07-05,Sud,Cosmetique,463,376.54
16,2024-07-05,Est,Electronique,214,289.24
17,2024-07-05,Centre,Cosmetique,413,784.0
18,2024-07-06,Nord,Electronique,483,324.01
19,2024-07-06,Sud,Alimentaire,75,336.01
20,2024-07-06,Ouest,Mobilier,151,372.51
21,2024-07-06,Centre,Cosmetique,243,215.22
22,2024-07-06,Centre,Mobilier,95,186.52
23,2024-07-07,Nord,Cosmetique,237,675.94
24,2024-07-07,Sud,Cosmetique,428,623.3
25,2024-07-07,Est,Alimentaire,280,224.23
26,2024-07-07,Ouest,Electronique,363,298.18
27,2024-07-07,Centre,Cosmetique,42,331.43
28,2024-07-07,Centre,Electronique,379,200.3
29,2024-07-08,Nord,Alimentaire,237,118.67
30,2024-07-08,Est,Textile,328,253.9
31,2024-07-08,Ouest,Mobilier,92,198.33
32,2024-07-08,Centre,Cosmetique,490,861.09
33,2024-07-09,Ouest,Alimentaire,240,497.88
34,2024-07-09,Centre,Electronique,290,376.89
35,2024-07-10,Est,Cosmetique,403,125.84
36,2024-07-10,Est,Electronique,539,171.71
37,2024-07-10,Ouest,Textile,394,151.37
38,2024-07-10,Ouest,Cosmetique,339,251.74
39,2024-07-11,Sud,Mobilier,221,563.63
40,2024-07-11,Ouest,Cosmetique,6,172.73
41,2024-07-11,Ouest,Mobilier,480,125.47
42,2024-07-11,Ouest,Electronique,155,140.2
43,2024-07-11,Centre,Cosmetique,569,522.04
44,2024-07-13,Nord,Alimentaire,302,296.04
45,2024-07-13,Sud,Alimentaire,348,520.79
46,2024-07-13,Ouest,Textile,308,82.63
47,2024-07-13,Centre,Alimentaire,197,882.72
48,2024-07-14,Nord,Textile,302,409.87
49,2024-07-14,Sud,Electronique,217,227.06
50,2024-07-14,Sud,Mobilier,551,300.55
51,2024-07-14,Est,Electronique,180,163.23
52,2024-07-14,Est,Mobilier,415,245.11
53,2024-07-15,Nord,Mobilier,192,403.17
54,2024-07-15,Sud,Textile,233,151.34
55,2024-07-15,Sud,Alimentaire,375,189.45
56,2024-07-15,Sud,Alimentaire,292,271.81
57,2024-07-15,Est,Textile,463,253.62
58,2024-07-16,Nord,Textile,240,423.5
59,2024-07-16,Centre,Electronique,119,433.4
60,2024-07-17,Nord,Textile,382,111.64
61,2024-07-17,Nord,Alimentaire,508,179.14
62,2024-07-17,Nord,Textile,362,207.62
63,2024-07-18,Nord,Textile,550,162.91
64,2024-07-18,Sud,Mobilier,79,514.65
65,2024-07-18,Est,Textile,224,182.88
66,2024-07-18,Ouest,Electronique,182,370.02
67,2024-07-18,Centre,Textile,415,355.35
68,2024-07-18,Centre,Cosmetique,133,282.43
69,2024-07-19,Nord,Cosmetique,334,507.54
70,2024-07-19,Est,Mobilier,54,283.61
71,2024-07-19,Centre,Mobilier,212,1153.76
72,2024-07-20,Nord,Cosmetique,512,386.61
73,2024-07-20,Sud,Mobilier,379,139.21
74,2024-07-20,Sud,Mobilier,489,155.82
75,2024-07-20,Sud,Alimentaire,357,145.89
76,2024-07-20,Ouest,Alimentaire,320,540.84
77,2024-07-20,Centre,Textile,396,254.11
78,2024-07-20,Centre,Cosmetique,138,274.24
79,2024-07-21,Nord,Electronique,311,399.72
80,2024-07-21,Sud,Cosmetique,12,562.71
81,2024-07-21,Ouest,Cosmetique,229,526.83
82,2024-07-21,Centre,Alimentaire,359,711.52
83,2024-07-22,Sud,Alimentaire,593,471.52
84,2024-07-22,Est,Mobilier,229,375.28
85,2024-07-22,Centre,Electronique,326,645.19
86,2024-07-23,Centre,Alimentaire,530,261.99
87,2024-07-23,Centre,Mobilier,449,260.84
88,2024-07-23,Centre,Electronique,333,125.2
89,2024-07-24,Nord,Alimentaire,475,365.71
90,2024-07-24,Ouest,Cosmetique,6,380.52
91,2024-07-24,Centre,Cosmetique,270,528.58
92,2024-07-24,Centre,Electronique,46,453.0
93,2024-07-25,Est,Electronique,558,15.69
94,2024-07-25,Est,Alimentaire,113,81.67
95,2024-07-25,Est,Alimentaire,589,111.38
96,2024-07-25,Centre,Electronique,462,164.94
97,2024-07-25,Centre,Electronique,12,254.26
98,2024-07-26,Sud,Mobilier,203,377.41
99,2024-07-26,Est,Mobilier,155,101.2
100,2024-07-26,Est,Mobilier,134,180.46
101,2024-07-26,Est,Cosmetique,321,154.46
102,2024-07-26,Ouest,Cosmetique,51,347.73
103,2024-07-27,Ouest,Mobilier,268,258.16
104,2024-07-27,Centre,Mobilier,141,868.92
105,2024-07-28,Nord,Electronique,386,233.28
106,2024-07-28,Nord,Cosmetique,415,228.46
107,2024-07-28,Est,Mobilier,422,123.91
108,2024-07-29,Nord,Textile,84,349.06
109,2024-07-29,Sud,Alimentaire,395,345.5
110,2024-07-29,Ouest,Mobilier,324,404.74
111,2024-07-29,Centre,Cosmetique,270,551.84
112,2024-07-30,Sud,Mobilier,336,348.87
113,2024-07-30,Sud,Textile,422,227.78
114,2024-07-30,Ouest,Electronique,295,531.83
115,2024-07-30,Centre,Cosmetique,554,228.61
116,2024-07-30,Centre,Electronique,416,282.63
117,2024-07-31,Sud,Alimentaire,376,357.67
118,2024-07-31,Ouest,Electronique,356,82.08
119,2024-07-31,Ouest,Mobilier,168,174.29
120,2024-07-31,Centre,Textile,299,187.4
121,2024-08-01,Nord,Electronique,125,90.79
122,2024-08-01,Nord,Textile,574,140.47
123,2024-08-01,Nord,Cosmetique,328,122.04
124,2024-08-01,Sud,Cosmetique,589,394.12
125,2024-08-01,Sud,Mobilier,394,350.43
126,2024-08-01,Centre,Mobilier,236,592.3
127,2024-08-02,Nord,Mobilier,225,400.32
